Site,Date,NDVI,NDVI_mean,usrt_strv_mean,Alltrail_nb_revw,HFI,HFIperc,Density_trail,PLUZ_NAME,TYPE,vegclass,UTM,UTM_mE,UTM_mN,Latitude,Longitude,Elevation,buffer_area,forest_perc,distance_water,distance_trail,distance_trail_m,Use_Type,season
1,2019-12-01,0.0636357142857143,0.355696638655462,0,0,NA,0,0,Blackstone/Wapiabi,PLUZ,Shrubland,11U,527494,5815590,52.4898,-116.595,1839,785039.343644146,31.8849110409057,262.047315588688,1164.25898855505,1164.25898855505,No_trail_inbuf,winter
1,2020-01-01,0.0690785714285714,0.355696638655462,0,0,NA,0,0,Blackstone/Wapiabi,PLUZ,Shrubland,11U,527494,5815590,52.4898,-116.595,1839,785039.343644146,31.8849110409057,262.047315588688,1164.25898855505,1164.25898855505,No_trail_inbuf,winter
1,2020-02-01,0.0444,0.355696638655462,0,0,NA,0,0,Blackstone/Wapiabi,PLUZ,Shrubland,11U,527494,5815590,52.4898,-116.595,1839,785039.343644146,31.8849110409057,262.047315588688,1164.25898855505,1164.25898855505,No_trail_inbuf,winter
1,2020-03-01,0.0362714285714286,0.355696638655462,0,0,NA,0,0,Blackstone/Wapiabi,PLUZ,Shrubland,11U,527494,5815590,52.4898,-116.595,1839,785039.343644146,31.8849110409057,262.047315588688,1164.25898855505,1164.25898855505,No_trail_inbuf,winter
1,2020-04-01,0.0261785714285714,0.355696638655462,0,0,NA,0,0,Blackstone/Wapiabi,PLUZ,Shrubland,11U,527494,5815590,52.4898,-116.595,1839,785039.343644146,31.8849110409057,262.047315588688,1164.25898855505,1164.25898855505,No_trail_inbuf,winter
1,2020-12-01,0.154535714285714,0.355696638655462,0,0,NA,0,0,Blackstone/Wapiabi,PLUZ,Shrubland,11U,527494,5815590,52.4898,-116.595,1839,785039.343644146,31.8849110409057,262.047315588688,1164.25898855505,1164.25898855505,No_trail_inbuf,winter
1,2021-01-01,0.209442857142857,0.355696638655462,0,0,NA,0,0,Blackstone/Wapiabi,PLUZ,Shrubland,11U,527494,5815590,52.4898,-116.595,1839,785039.343644146,31.8849110409057,262.047315588688,1164.25898855505,1164.25898855505,No_trail_inbuf,winter
1,2021-02-01,0.0733571428571429,0.355696638655462,0,0,NA,0,0,Blackstone/Wapiabi,PLUZ,Shrubland,11U,527494,5815590,52.4898,-116.595,1839,785039.343644146,31.8849110409057,262.047315588688,1164.25898855505,1164.25898855505,No_trail_inbuf,winter
1,2021-03-01,0.0940928571428571,0.355696638655462,0,0,NA,0,0,Blackstone/Wapiabi,PLUZ,Shrubland,11U,527494,5815590,52.4898,-116.595,1839,785039.343644146,31.8849110409057,262.047315588688,1164.25898855505,1164.25898855505,No_trail_inbuf,winter
1,2021-04-01,0.178678571428571,0.355696638655462,0,0,NA,0,0,Blackstone/Wapiabi,PLUZ,Shrubland,11U,527494,5815590,52.4898,-116.595,1839,785039.343644146,31.8849110409057,262.047315588688,1164.25898855505,1164.25898855505,No_trail_inbuf,winter
2,2019-12-01,0.16142,0.464527450980392,0,0,8421.20123133,1.0722208652594,0.0122362584433464,Blackstone/Wapiabi,PLUZ,Coniferous Forest,11U,534949,5814709,52.4814,-116.485,1747,785039.343644178,82.4314279547541,184.380523679394,185.842924763278,185.842924763278,Non-Motorized,winter
2,2020-01-01,0.31242,0.464527450980392,0,0,8421.20123133,1.0722208652594,0.0122362584433464,Blackstone/Wapiabi,PLUZ,Coniferous Forest,11U,534949,5814709,52.4814,-116.485,1747,785039.343644178,82.4314279547541,184.380523679394,185.842924763278,185.842924763278,Non-Motorized,winter
2,2020-02-01,0.18033,0.464527450980392,0,0,8421.20123133,1.0722208652594,0.0122362584433464,Blackstone/Wapiabi,PLUZ,Coniferous Forest,11U,534949,5814709,52.4814,-116.485,1747,785039.343644178,82.4314279547541,184.380523679394,185.842924763278,185.842924763278,Non-Motorized,winter
2,2020-03-01,0.11241,0.464527450980392,0,0,8421.20123133,1.0722208652594,0.0122362584433464,Blackstone/Wapiabi,PLUZ,Coniferous Forest,11U,534949,5814709,52.4814,-116.485,1747,785039.343644178,82.4314279547541,184.380523679394,185.842924763278,185.842924763278,Non-Motorized,winter
2,2020-04-01,0.25638,0.464527450980392,0,0,8421.20123133,1.0722208652594,0.0122362584433464,Blackstone/Wapiabi,PLUZ,Coniferous Forest,11U,534949,5814709,52.4814,-116.485,1747,785039.343644178,82.4314279547541,184.380523679394,185.842924763278,185.842924763278,Non-Motorized,winter
2,2020-12-01,0.29875,0.464527450980392,0,0,8421.20123133,1.0722208652594,0.0122362584433464,Blackstone/Wapiabi,PLUZ,Coniferous Forest,11U,534949,5814709,52.4814,-116.485,1747,785039.343644178,82.4314279547541,184.380523679394,185.842924763278,185.842924763278,Non-Motorized,winter
2,2021-01-01,0.52837,0.464527450980392,0,0,8421.20123133,1.0722208652594,0.0122362584433464,Blackstone/Wapiabi,PLUZ,Coniferous Forest,11U,534949,5814709,52.4814,-116.485,1747,785039.343644178,82.4314279547541,184.380523679394,185.842924763278,185.842924763278,Non-Motorized,winter
2,2021-02-01,0.19796,0.464527450980392,0,0,8421.20123133,1.0722208652594,0.0122362584433464,Blackstone/Wapiabi,PLUZ,Coniferous Forest,11U,534949,5814709,52.4814,-116.485,1747,785039.343644178,82.4314279547541,184.380523679394,185.842924763278,185.842924763278,Non-Motorized,winter
2,2021-03-01,0.28161,0.464527450980392,0,0,8421.20123133,1.0722208652594,0.0122362584433464,Blackstone/Wapiabi,PLUZ,Coniferous Forest,11U,534949,5814709,52.4814,-116.485,1747,785039.343644178,82.4314279547541,184.380523679394,185.842924763278,185.842924763278,Non-Motorized,winter
2,2021-04-01,0.40594,0.464527450980392,0,0,8421.20123133,1.0722208652594,0.0122362584433464,Blackstone/Wapiabi,PLUZ,Coniferous Forest,11U,534949,5814709,52.4814,-116.485,1747,785039.343644178,82.4314279547541,184.380523679394,185.842924763278,185.842924763278,Non-Motorized,winter
3,2019-12-01,0.237158333333333,0.533730065359477,0,0,38770.856347,4.93645977542596,0,NA,PRA,Coniferous Forest,11U,542425,5819464,52.5236,-116.375,1518,785039.343644122,88.3164344421387,141.000631708852,2030.38092937895,2030.38092937895,No_trail_inbuf,winter
3,2020-01-01,0.475216666666667,0.533730065359477,0,0,38770.856347,4.93645977542596,0,NA,PRA,Coniferous Forest,11U,542425,5819464,52.5236,-116.375,1518,785039.343644122,88.3164344421387,141.000631708852,2030.38092937895,2030.38092937895,No_trail_inbuf,winter
3,2020-02-01,0.498041666666667,0.533730065359477,0,0,38770.856347,4.93645977542596,0,NA,PRA,Coniferous Forest,11U,542425,5819464,52.5236,-116.375,1518,785039.343644122,88.3164344421387,141.000631708852,2030.38092937895,2030.38092937895,No_trail_inbuf,winter
