"Deployment.Location.ID","Effort","Alces alces","Canis","Canis latrans","Canis lupus","Cervus canadensis","Gulo gulo","Leporidae","Lepus americanus","Lynx canadensis","Lynx rufus","Marmota caligata","Martes americana","Martes pennanti","Mephitis mephitis","Muridae","Mustela","Neovison vison","Odocoileus","Odocoileus hemionus","Odocoileus virginianus","Ovis canadensis","Puma concolor","Tamiasciurus hudsonicus","Ursus","Ursus americanus","Ursus arctos","Vulpes vulpes"
"BH-1",344,1,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,2
"BH-104",343,0,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,0,1,0,30,0,0,2,0,1,0,0
"BH-105",343,2,1,5,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,22,0,0,1,0,6,0,0
"BH-12",345,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,2,0,0,0,26,0,0,17,0,4,0,2
"BH-13",333,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
"BH-14",335,3,1,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0
"BH-15",336,0,0,1,0,0,2,0,3,0,0,0,2,0,0,0,3,0,1,5,1,0,0,41,0,0,8,7
"BH-16",94,0,1,1,0,0,0,1,4,0,0,0,2,0,0,0,0,0,0,0,14,0,0,4,0,0,0,3
"BH-17",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BH-18",344,0,2,14,0,0,0,2,37,3,0,0,1,0,0,0,0,0,1,0,59,0,0,10,0,0,0,7
"BH-186",344,0,0,1,0,0,0,5,0,0,0,0,2,0,0,0,0,0,2,27,17,1,0,0,0,9,0,0
"BH-19",344,0,0,0,0,0,0,0,41,3,1,0,0,0,0,0,0,0,7,18,10,0,0,1,0,0,0,0
"BH-192",345,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,3,23,0,0,1,0,1,1,8
"BH-193",345,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,9,1,0,1,0,0,0,1
"BH-194",35,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
"BH-195",345,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,35,0,0,3,0,0,1,0
"BH-2",336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,13,0,0,1,0,0,0,1
"BH-20",340,1,2,8,17,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0
"BH-21",344,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,0,0,13,0,0,1,0,1,0,24
"BH-22",338,1,2,3,2,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,70,0,0,0,0,2,2,19
"BH-23",338,0,0,3,2,1,0,0,1,1,0,0,1,0,0,0,1,0,3,0,61,0,0,0,0,5,0,4
"BH-24",338,2,0,2,1,0,0,0,3,3,0,0,0,0,1,0,3,0,0,0,34,0,0,32,0,13,0,7
"BH-25",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"BH-26",331,0,0,0,3,0,1,0,0,2,0,0,1,0,0,0,0,0,3,3,57,0,0,3,0,3,0,2
"BH-27",345,0,2,6,1,0,0,0,15,4,0,0,0,0,0,0,0,0,5,1,64,0,0,1,0,2,1,4
"BH-28",346,0,1,16,1,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,15,0,0,6,0,1,0,0
"BH-3",344,1,0,0,0,0,0,0,4,1,0,0,2,0,0,0,0,0,2,0,12,0,0,2,0,1,5,0
"BH-30",343,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,15,0,0,0,0,5,0,0
"BH-31",343,0,0,10,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,1,59,0,1,1,0,7,0,4
"BH-32",55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"BH-33",200,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,5,22,21,0,0,2,0,4,0,6
"BH-34",202,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,1,1,0,0,1,0
"BH-35",343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,0,0,0,1,0,2
"BH-36",343,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,22,0,0,2,0,0,0,0
"BH-37",344,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,7,0,0,5,0,0,7,0
"BH-38",335,0,0,0,0,0,0,0,15,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
"BH-39",344,0,0,0,0,0,0,0,28,0,0,0,2,0,0,0,0,0,1,0,91,0,0,1,0,0,0,6
"BH-4",344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"BH-40",343,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,14,0,0,1,0,1,0,0
"BH-41",343,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,0,0,2,0,1,0,3
"BH-42",343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,14,0,1,0,0,1,0,0
"BH-43",346,4,0,0,1,0,0,0,0,0,0,0,9,0,0,0,1,0,0,2,14,0,0,1,0,2,0,5
"BH-44",201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,67,0,0,0,0,0,1,0,0
"BH-45",186,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,1,0,2
"BH-46",176,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0
"BH-47",344,0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,72,0,1,3,0,2,1,45
"BH-48",324,0,0,14,2,0,0,0,13,5,0,0,0,0,2,0,0,0,0,0,30,0,0,0,0,5,0,0
"BH-49",343,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,2,0,0,4,2,2,0,0,0,0,6,0
"BH-5",344,2,0,1,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,4,55,0,0,0,0,0,0,0
"BH-51",344,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,21,0,1,0,0,7,1,6
"BH-52",342,0,1,21,0,2,0,0,27,8,0,0,0,0,0,0,0,0,5,0,68,0,1,0,0,8,0,1
"BH-53",339,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,12,0,0,3,3,0,0,0,11
"BH-54",297,10,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,66,0,5,1,0,6,0,0
"BH-55",347,1,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,1,59,0,0,1,0,0,0,3
"BH-56",343,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,2
"BH-57",343,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,8,7,0,0,0,0,1,0,4
"BH-58",343,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,13,0,0,0,0,1,1,0
"BH-59",344,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,3,20,0,1,4,0,2,1,11
"BH-6",344,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,34,0,0,0,0,0,1,5
"BH-60",344,0,1,3,3,0,0,0,47,21,0,0,0,0,0,0,0,0,1,18,22,0,2,7,1,4,0,0
"BH-61",283,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,1,0
"BH-62",344,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,52,0,0,0,0,3,1,5
"BH-63",344,0,0,10,2,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,43,0,1,0,0,5,1,1
"BH-64",303,3,0,4,0,0,0,0,7,5,0,0,0,0,1,0,0,0,0,1,5,0,0,5,0,2,0,0
"BH-65",344,1,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,1,6,0,0,1,4,0,1,0,0
"BH-66",37,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0
"BH-67",347,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,6,8,11,0,0,0,0,0,3,4
