"Deployment.Location.ID","Effort","Alces alces","Canis latrans","Canis lupus","Cervus canadensis","Equus caballus","Glaucomys sabrinus","Gulo gulo","Leporidae","Lepus americanus","Lynx canadensis","Marmota monax","Martes americana","Martes pennanti","Mephitis mephitis","Mustela","Odocoileus","Odocoileus hemionus","Odocoileus virginianus","Ovis canadensis","Puma concolor","Sciuridae","Tamiasciurus hudsonicus","Ursus americanus","Ursus arctos","Vulpes vulpes"
"BH-1",329,0,1,0,0,0,0,0,1,7,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6
"BH-104",329,0,2,2,0,0,0,0,0,51,7,0,4,0,0,0,1,1,21,0,0,0,5,6,0,0
"BH-105",329,2,10,1,0,0,0,0,0,9,2,0,0,0,0,0,1,0,39,0,0,0,0,4,0,0
"BH-12",333,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,42,0,0,0,0,6,0,2
"BH-13",135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BH-14",337,1,1,2,0,3,0,1,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,1,0,0
"BH-15",337,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1,5,0,0,0,21,1,6,4
"BH-16",330,0,3,2,0,0,0,0,0,3,1,0,0,0,0,0,3,4,84,0,0,0,1,2,2,0
"BH-17",79,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,11,0,0,0,0,0,0,4
"BH-18",328,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,1,0,2,6,2,3
"BH-19",321,0,0,0,0,0,1,0,0,11,4,0,0,0,0,0,1,5,5,0,1,0,3,2,0,0
"BH-191",327,0,1,0,3,0,0,0,0,5,1,0,0,0,0,0,1,7,23,1,0,0,0,0,1,5
"BH-192",327,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,12,8,0,0,1,6,0,4,7
"BH-193",327,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,1,1,0,1,2,0,3
"BH-194",75,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8,0,0,0,1,0,0,0
"BH-195",327,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,39,0,0,0,2,1,2,0
"BH-2",337,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,4,10,0,0,0,1,1,0,5
"BH-20",324,0,8,11,0,0,0,0,0,6,3,0,0,0,0,0,0,0,5,0,0,0,0,1,2,0
"BH-21",332,0,0,2,0,0,0,0,0,1,0,0,6,1,0,0,0,0,22,0,0,0,1,11,0,2
"BH-22",333,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,0,0,0,0,4,1,4
"BH-23",333,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,4,0,0
"BH-24",333,0,5,0,0,0,0,0,0,0,1,1,4,0,0,0,1,0,39,0,0,0,59,1,1,1
"BH-25",322,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,2,0,0,0,3,15
"BH-26",318,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,2,1,61,0,0,0,0,1,1,1
"BH-27",329,0,2,4,0,0,0,0,0,5,1,0,0,0,0,0,1,0,64,0,0,0,0,1,2,0
"BH-28",329,0,19,0,0,4,0,0,0,15,1,0,0,0,0,0,0,0,25,0,0,0,0,9,0,0
"BH-3",329,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,1,1,1,0
"BH-30",328,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,3,0,0
"BH-31",329,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,2,1,41,0,10,0,0,0,0,1
"BH-32",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BH-33",332,0,1,0,2,0,0,0,0,26,0,0,0,0,1,0,0,0,26,0,11,0,0,2,0,5
"BH-34",329,0,0,1,0,1,0,0,0,44,7,0,0,0,0,0,0,0,32,0,1,0,2,1,0,0
"BH-35",327,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0,0,0,0,0,7
"BH-36",327,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,18,0,0,0,2,1,0,5
"BH-37",328,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,10,0
"BH-38",328,1,0,0,0,0,0,0,0,7,2,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0
"BH-39",88,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,1,0,16,0,0,0,0,8,0,4
