"Deployment.Location.ID","Effort","Alces alces","Canis","Canis latrans","Canis lupus","Castor canadensis","Cervus canadensis","Erethizon dorsatum","Glaucomys sabrinus","Gulo gulo","Leporidae","Lepus americanus","Lynx canadensis","Lynx rufus","Marmota monax","Martes americana","Mephitis mephitis","Mustela erminea","Mustela frenata","Odocoileus","Odocoileus hemionus","Odocoileus virginianus","Ovis canadensis","Procyon lotor","Puma concolor","Rodentia","Sciuridae","Spermophilus columbianus","Spermophilus richardsonii","Tamiasciurus hudsonicus","Taxidea taxus","Ursus","Ursus americanus","Ursus arctos","Vulpes vulpes"
"CA-11",310,5,0,0,0,0,7,0,0,0,0,3,1,0,1,0,0,0,0,0,9,63,0,0,0,0,0,5,0,0,0,0,1,1,1
"CA-12",306,1,0,4,0,0,0,0,0,0,0,172,3,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,5,0,0,1,1,0
"CA-13",306,2,0,5,0,0,8,0,0,0,0,8,0,0,0,1,1,1,0,0,2,7,0,0,1,0,0,0,7,10,0,0,4,1,3
"CA-14",304,3,0,3,0,0,21,0,2,0,0,0,1,0,0,11,2,0,0,1,17,2,0,0,1,0,0,0,0,102,0,0,3,5,13
"CA-16",310,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,2,0
"CA-17",311,4,0,0,0,0,4,2,0,1,0,58,3,4,0,1,0,0,0,0,0,6,0,0,0,0,1,0,0,1,1,0,4,2,0
"CA-18",308,3,0,7,0,0,1,0,0,0,0,170,6,0,0,2,0,0,1,0,3,21,0,0,0,0,0,0,0,5,0,0,1,3,0
"CA-19",308,4,0,22,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,21,0,0,0,0,0,0,0,0,0,0,5,8,10
"CA-20",306,2,1,25,18,0,4,0,0,0,0,0,0,0,0,0,4,0,0,3,7,93,0,0,0,0,0,0,0,0,0,0,13,4,77
"CA-21",308,6,0,2,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,5,2,86,0,0,0,0,0,0,0,0,0,0,3,0,5
"CA-24",307,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,0,0,0,0,0,0,0,0,0,1,0,3,0
"CA-25",271,1,0,0,0,0,1,0,0,2,0,2,0,0,0,4,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,7,2,0
"CA-26",306,3,0,6,0,0,1,0,0,5,0,65,3,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,6,0,0
"CA-27",312,1,0,1,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,1,7,3,0,0,0,0,0,0,0,0,0,0,2,1,4
"CA-28",308,7,0,1,2,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,7,0,4
"CA-29",309,6,0,8,0,0,5,0,0,0,0,7,0,3,0,0,3,0,0,0,11,33,0,0,2,0,0,0,0,5,0,0,10,4,4
"CA-3",298,16,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1
"CA-30",306,7,0,0,0,0,3,0,0,0,0,0,0,0,0,1,4,0,0,1,6,44,0,0,0,0,0,0,0,3,0,0,10,2,15
"CA-31",307,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,3,1,0
"CA-32",304,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,5,0,18
"CA-33",305,17,0,17,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,22
"CA-34",306,2,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0,0,4,4,0
"CA-35",307,3,0,3,2,0,10,0,0,0,0,3,0,0,0,1,0,0,0,2,5,15,17,0,0,0,0,0,0,0,0,1,7,0,2
"CA-36",310,5,0,6,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,31,0,0,2,0,0,0,0,3,0,0,5,2,2
"CA-37",309,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,58,0,0,0,0,0,0,0,4,0,0,9,3,3
