"Deployment.Location.ID","Effort","Alces alces","Canis latrans","Canis lupus","Castor canadensis","Cervus canadensis","Erethizon dorsatum","Glaucomys sabrinus","Gulo gulo","Lepus americanus","Lynx canadensis","Lynx rufus","Martes americana","Martes pennanti","Mephitis mephitis","Mustela erminea","Mustela frenata","Odocoileus hemionus","Odocoileus virginianus","Oreamnos americanus","Ovis canadensis","Procyon lotor","Puma concolor","Spermophilus columbianus","Tamias minimus","Tamiasciurus hudsonicus","Taxidea taxus","Ursus americanus","Ursus arctos","Vulpes vulpes"
"CA-11",367,6,4,0,0,4,0,0,0,3,0,0,0,0,0,0,0,6,54,0,0,0,0,8,0,0,0,4,0,0
"CA-12",370,0,2,0,0,0,0,0,0,149,6,0,1,2,0,0,0,0,12,0,0,0,0,0,0,5,0,5,2,1
"CA-13",370,2,1,0,0,2,0,0,0,5,1,0,3,0,1,0,0,1,9,0,0,0,1,11,0,46,1,15,0,0
"CA-14",372,9,0,2,0,43,0,0,0,5,0,0,9,1,2,0,1,38,6,0,0,0,0,0,0,166,0,10,4,20
"CA-16",296,2,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,1,0,0,0,0,1,2,0
"CA-17",366,3,0,1,0,2,0,0,0,103,8,0,1,1,0,0,0,0,8,0,0,0,1,0,0,10,0,2,1,0
"CA-18",367,1,3,0,0,3,0,0,0,193,4,0,0,0,0,0,0,0,22,0,0,0,0,0,0,6,11,3,0,1
"CA-19",370,11,5,1,0,4,0,0,0,0,1,1,0,0,0,0,0,2,34,0,0,0,1,0,0,1,0,16,2,15
"CA-20",372,6,3,4,0,3,0,0,0,0,0,0,0,0,1,0,0,9,98,0,0,0,0,0,0,0,0,18,6,87
"CA-21",370,6,4,1,0,2,0,0,0,0,0,1,1,0,0,0,0,5,75,0,0,0,1,0,0,0,0,10,3,4
"CA-24",371,1,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,1,4,0
"CA-26",371,4,4,0,0,4,0,0,0,152,1,0,1,0,0,0,0,0,34,0,0,1,2,0,0,7,2,6,0,0
"CA-27",368,0,2,0,0,5,0,0,0,0,0,0,0,0,1,0,0,3,7,0,0,0,0,0,0,0,0,7,0,6
"CA-28",370,8,5,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,23,0,0,0,0,0,0,1,0,14,0,2
"CA-29",368,2,0,1,0,4,0,0,0,7,0,4,4,0,6,0,0,19,13,0,0,0,1,4,0,5,0,10,2,5
"CA-3",371,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,3,0
"CA-30",371,4,0,0,0,1,0,0,0,0,0,0,3,0,4,0,0,5,49,0,0,0,1,0,0,3,0,21,0,4
